q1,q2,q3,q4,q5,q6,q7,preference
4,4,2,1,3,2,4,adventure
2,1,3,2,4,3,3,self
3,3,2,1,3,1,1,adventure
1,1,3,2,2,2,1,social
2,1,3,2,3,3,4,self
3,2,3,1,2,1,1,adventure
2,3,1,1,3,2,2,self
1,2,3,4,2,2,3,social
3,3,2,3,2,2,1,adventure
4,1,3,2,3,3,1,social
3,4,3,1,2,3,1,adventure
2,4,1,2,2,2,3,adventure
2,4,3,1,2,4,4,self
3,3,4,2,2,2,1,social
3,1,1,2,3,3,1,self
4,3,4,3,3,3,1,social
1,4,2,3,3,1,3,self
3,2,2,3,1,2,4,adventure
1,1,3,2,2,3,2,self
2,1,2,1,1,3,1,self
4,4,1,2,1,1,1,adventure
3,4,3,4,2,1,2,adventure
3,3,4,4,2,1,4,social
4,2,3,3,3,2,3,adventure
2,3,2,4,4,3,1,social
1,2,3,4,4,2,3,self
3,2,2,2,3,2,3,self
1,1,4,1,2,2,2,social
1,3,2,1,3,4,2,self
2,3,3,3,3,4,3,self
4,1,3,2,2,2,2,adventure
4,4,4,3,4,4,4,adventure
2,1,1,1,2,1,2,self
1,1,2,1,4,3,3,self
2,4,4,4,3,1,2,social
4,4,4,2,4,3,2,adventure
3,1,3,3,2,1,1,social
1,2,1,4,2,4,2,self
3,4,4,4,1,3,1,social
4,3,3,1,2,3,2,adventure
1,4,4,3,4,1,2,social
1,4,2,1,1,3,1,adventure
2,3,1,4,4,1,2,self
4,4,1,4,3,2,3,adventure
2,2,1,3,3,4,1,self
1,1,3,4,1,1,2,social
2,3,1,4,4,3,4,self
4,3,1,4,3,2,4,adventure
2,3,1,3,4,3,4,self
2,4,2,2,2,4,2,self
4,3,2,1,3,4,2,adventure
4,4,3,1,4,2,3,adventure
1,1,3,3,4,3,4,self
2,4,4,4,1,3,1,social
3,1,1,4,2,1,1,social
4,1,2,2,4,2,1,social
2,3,1,2,4,1,3,self
2,3,4,4,2,2,3,social
4,4,2,4,2,4,1,adventure
1,1,3,2,3,4,1,social
3,1,3,2,1,2,2,social
4,1,2,1,4,1,3,self
2,1,3,3,4,3,2,self
4,3,1,4,2,1,1,adventure
1,3,3,1,1,3,1,adventure
1,4,2,2,1,1,1,adventure
4,3,4,2,3,1,3,adventure
2,3,4,2,1,4,2,social
1,3,2,4,2,4,3,self
2,4,1,4,4,2,2,self
1,2,3,3,3,2,2,social
1,2,4,4,1,3,2,social
3,1,2,3,3,4,4,self
